"Finger_X","Finger_Y","Finger_Z","Metacarpal_X","Metacarpal_Y","Metacarpal_Z","Wrist_X","Wrist_Y","Wrist_Z","Elbow_X","Elbow_Y","Elbow_Z","Shoulder_X","Shoulder_Y","Shoulder_Z","Pec_A_X","Pec_A_Y","Pec_A_Z","Pec_P_X","Pec_P_Y","Pec_P_Z","Toe_X","Toe_Y","Toe_Z","Metatarsal_X","Metatarsal_Y","Metatarsal_Z","Ankle_X","Ankle_Y","Ankle_Z","Knee_X","Knee_Y","Knee_Z","Hip_X","Hip_Y","Hip_Z","Pel_A_X","Pel_A_Y","Pel_A_Z","Pel_P_X","Pel_P_Y","Pel_P_Z","Snout_X","Snout_Y","Snout_Z","Mid_1_X","Mid_1_Y","Mid_1_Z","Mid_2_X","Mid_2_Y","Mid_2_Z","Mid_3_X","Mid_3_Y","Mid_3_Z","Tail_1_X","Tail_1_Y","Tail_1_Z","Tail_2_X","Tail_2_Y","Tail_2_Z","Tail_3_X","Tail_3_Y","Tail_3_Z","Tail_4_X","Tail_4_Y","Tail_4_Z","Tail_5_X","Tail_5_Y","Tail_5_Z","Tail_6_X","Tail_6_Y","Tail_6_Z"
6.47722891078364,6.82353923392463,1.88896269327139,6.676343821026,6.66922832037517,1.9718628381507,6.75742969093614,6.50039998933876,1.95985481363136,6.45361258953594,6.40488104862475,1.67799830549958,5.99649046328339,6.42147413266085,1.84416859753413,5.65020196912282,6.09136254703046,1.74240017170914,5.79121154810004,6.01976660337137,1.8105160524761,7.1294915403756,6.0679696618516,2.10526430392831,7.41906610086397,5.99445186886286,2.17251015699129,7.70524605703447,5.873105230851,2.33420545902481,8.04113021143546,5.48992068881283,2.38985772815326,8.31290104493739,5.20351521568592,2.6889653337367,8.20777243902703,4.81654662995947,2.69148574266699,8.51677109881278,4.76024296252936,2.76250929901552,4.11384684409189,6.93683856000366,1.55257622853951,6.31705074802132,5.68514210992503,2.05838853779754,6.94168035345754,5.3440548661945,2.28932635871384,7.58261868734346,4.99465105477266,2.54812975646989,9.46765516006199,4.34819104928637,3.16041627401857,10.4997747860909,3.98125272301297,3.51656334850513,12.0124296010997,3.49132502282559,3.89060099445299,13.1006489759147,3.15202003524902,4.26304055051489,13.9437851678823,2.96729150591916,4.62830983014414,14.7874199074854,2.78077058641553,4.82958161098308
6.47431825840511,6.82423495616966,1.89002979972525,6.67430676132569,6.67181158668614,1.9732244579529,6.75798791182113,6.50174164949164,1.96119138036484,6.4536414924747,6.40264903203363,1.68081263337677,5.9956248533685,6.42096638634768,1.84532248478443,5.6501332374499,6.08927712054571,1.7446245163011,5.78887127785319,6.01674490041629,1.81307636315134,7.17400112351692,6.13519984187246,2.21567275471575,7.44785375282658,6.05498860145858,2.25784427878179,7.7361943983242,5.90588303893755,2.38532963020096,8.04085670550224,5.50627292995362,2.40418598445283,8.30936246801743,5.19929161804533,2.68349831346836,8.21115488011455,4.8135865275239,2.69304528892922,8.52286299335648,4.757690601391,2.76376611433921,4.11346263225325,6.9365469721971,1.55216071657517,6.32589642149374,5.68373833375989,2.06208231806707,6.95581054524255,5.33465414722688,2.2938872625114,7.60981205484134,4.98552263456211,2.5473723356062,9.47117394903228,4.34901433475472,3.16162603324921,10.504985226198,3.97955984532903,3.51787058200402,12.0221770503921,3.49614775654538,3.90260107292656,13.1027765231419,3.15235055547973,4.26255526443467,13.9458328846529,2.96847457073906,4.62979743171439,14.7860962184201,2.78112007733303,4.82973318090101
6.47637491651374,6.82460306656477,1.8915983115681,6.67472507017185,6.6696950473444,1.97143841408677,6.7588109631794,6.49897189377196,1.95978868620105,6.44843431587167,6.40458393490359,1.67875199977513,5.99231963280332,6.4219069728664,1.84350446364167,5.64706632594411,6.0903970337484,1.74335080497822,5.78460541445718,6.01861295973763,1.8117809688356,7.20000884883612,6.1507100021738,2.24126573981469,7.48409062151981,6.05374318880187,2.27437243695234,7.75322618689986,5.90654945874327,2.39419683078408,8.04476580851248,5.50349473325235,2.39519684170322,8.29521386342818,5.19959643408119,2.68067744542959,8.20209298795432,4.81894410214263,2.69047525153341,8.50874946583241,4.76173541460212,2.75635463708048,4.11187029780192,6.93561847804893,1.55371840477527,6.34243694216334,5.68107664328232,2.0657327959751,6.98632925955534,5.33514218890802,2.303980850103,7.57269660912542,5.00137824553334,2.54783683049723,9.43739402040933,4.35664013846053,3.15459412336213,10.5074810247841,3.97785915478776,3.51931191117534,12.019012468759,3.48792916916687,3.89070274299872,13.0975790958542,3.15407262384881,4.26119801748024,13.9443611995125,2.96890156339754,4.63039655796412,14.7848910753733,2.78112718479394,4.82982247129383
6.47742934097964,6.82372336970189,1.89118459254242,6.67494747830771,6.67119445573223,1.97356572657229,6.75947261437827,6.50035740592442,1.95820006973095,6.45068749648354,6.40378279176156,1.67875532634658,5.99433563918115,6.42250296033169,1.84256991232549,5.64910292159176,6.0919759049,1.7405385652273,5.78992825088504,6.02051294766603,1.80888654141052,7.20753457355329,6.16297439366656,2.25783513902023,7.5061748415747,6.0715274512881,2.31786681298415,7.76540013846348,5.91656563758482,2.41186094106289,8.03737983555155,5.49556167852946,2.38247377647713,8.28219427884361,5.19842616229521,2.66859411881079,8.19043750254426,4.81990985234034,2.68902434361704,8.49956470313955,4.76623822991735,2.75694802449459,4.11127666286672,6.93370944396031,1.55361430336985,6.35819954684863,5.6701183896674,2.06050974458432,6.98531672418975,5.33594246215736,2.30271082547069,7.58408385025343,4.99718034815898,2.54807203651151,9.43173474299273,4.35858749947553,3.15234157584677,10.5059132299653,3.9787460773678,3.5180711812934,12.0149845844754,3.48955169354855,3.88764713508865,13.0971776630365,3.15195973941368,4.26029123317915,13.9464749861116,2.96812349053889,4.62997530063532,14.7840450810802,2.78146317557045,4.82824711682599
6.47817467529163,6.82433546806993,1.89152726950158,6.67609428805895,6.67059235790549,1.97399744496516,6.75911083097701,6.50158427499226,1.96056548306021,6.44820988831842,6.40145688165757,1.67031669697201,5.99280521706878,6.42221962704675,1.84339373690101,5.64904323439957,6.08797320772177,1.74544707688968,5.7876894746882,6.01606575450869,1.81377633261791,7.22428852284004,6.222098601386,2.34342749816091,7.48799612571217,6.09592757725498,2.34904937081654,7.75400421538708,5.92834964276569,2.42155854727038,8.02916374671625,5.50858764476293,2.39465131764606,8.27685505462088,5.20262534769251,2.67091467556932,8.18534579543811,4.8228585989192,2.68642351737445,8.49491318807899,4.76840558868366,2.75367726349325,4.11172724712477,6.93465446767562,1.55382947175442,6.33946275271923,5.68304059041086,2.06617472824385,6.95718260515901,5.34126275965537,2.2897188691544,7.5642203027827,4.99870044347617,2.54235902501892,9.43073120327595,4.35998939121084,3.1545765014246,10.5092117908296,3.97813244160461,3.51761844406421,12.0125465776542,3.49162374410384,3.88852142070957,13.0997321080114,3.15235832692823,4.26270394321574,13.9454114273861,2.96870720162242,4.62993433297542,14.7838259966565,2.78123498793253,4.8281011808226
6.47924196494257,6.82414360276393,1.89323202661689,6.67661611416279,6.67064147431748,1.97405553774631,6.75895742414336,6.5008798410866,1.95881086179655,6.45204652882799,6.40554805237844,1.67931384668564,5.9933083113123,6.42248626706198,1.8412000636398,5.6478979104541,6.09115929690457,1.74193868394856,5.78696602602299,6.02097780628456,1.80916649338579,7.23104483231139,6.236772121891,2.33424624140147,7.49687025314153,6.1065047483556,2.35452566198841,7.75992600038561,5.93183653955637,2.43037352072067,8.03244483944022,5.53531600061102,2.42248750618481,8.27532405331604,5.20533877190996,2.67612228152538,8.1865775985895,4.8234789880761,2.68328518313196,8.49690239040513,4.76933065928211,2.75260419445455,4.11090491140442,6.93500304649436,1.55312813483625,6.33618654411241,5.68376525634795,2.06610482085151,6.9900108710596,5.33640672467151,2.30338798736382,7.60737666793258,4.98428911870275,2.55103765862557,9.43300470439931,4.36347427642959,3.15457907301504,10.5087535522053,3.98208585372985,3.51681586667279,12.0148410452955,3.48988562320137,3.88943524628312,13.0962750862364,3.15210751112285,4.26138421074078,13.942386245661,2.96862176362557,4.62926187936915,14.782856563692,2.78112221798591,4.82776094861736
6.48277898959307,6.82873505378121,1.89986454831851,6.67672180985917,6.66960223642831,1.97299558917278,6.75862797402786,6.50006339874186,1.95891987265429,6.44814758998699,6.40030136861064,1.66936466393145,5.99406837936263,6.42137931402378,1.84297978675579,5.65087940306026,6.08992869516295,1.74255602304577,5.78859209576016,6.01884643538855,1.81093884952082,7.23708602039596,6.23759950260416,2.34718003888029,7.49687565058634,6.1060926943858,2.35951115548444,7.7611066616235,5.93397753460499,2.43016867467715,8.03314878126799,5.52462807132586,2.40746587761357,8.26838124873237,5.20163991431239,2.6675079471969,8.17697384007871,4.82366133658538,2.6804870132695,8.48798161925537,4.76903630918951,2.75185006264248,4.10944047717806,6.93271175713473,1.55490889251232,6.33231041990447,5.68230496988448,2.06433268795593,6.98664778746321,5.33445132270879,2.30475987362103,7.56456054911911,4.99595965009306,2.54593797898223,9.42890833547587,4.36496428672898,3.1529165109152,10.5069587491911,3.9850344791287,3.51567391521144,12.022004950536,3.48759108185277,3.88938287153938,13.0955217148545,3.15195342722581,4.26045777932709,13.9433811110038,2.96831980631707,4.62972273701925,14.7825538436486,2.78188416150432,4.82727489904182
6.47818019622792,6.8230203268363,1.89332015385638,6.67540279648788,6.67131373684095,1.9744208294466,6.75923420479144,6.5011870012993,1.95950990143302,6.44907053725715,6.3991434948288,1.67036855820902,5.99173865815229,6.42137161869131,1.84260493301829,5.64684443233666,6.09069216240389,1.74211029068821,5.78521116207339,6.01977698736362,1.80995923817509,7.22947211283374,6.22035879946925,2.35315744010614,7.49315925294164,6.09908896938772,2.35911059244025,7.75934371254459,5.92730518789622,2.43117864373808,8.04008313570268,5.53182030924933,2.42899858566169,8.27433341309328,5.19622838135722,2.67368117329319,8.18467543871506,4.8198405210411,2.68341633402437,8.49411833979559,4.76598083449852,2.75484041865572,4.10761523257707,6.93163529522444,1.55674633079572,6.33598841743662,5.68426650337586,2.06519050318589,6.99709779083318,5.33458122739938,2.30541243688805,7.61352059140405,4.982272588881,2.55184034902423,9.42752667004358,4.36525016741451,3.15681953691784,10.4942500239875,3.99069310373422,3.511905504598,12.018001783467,3.48778495483853,3.88892978824049,13.1040274800817,3.15231989063408,4.26431827130724,13.9610040204478,2.97253668124381,4.64396272624751,14.7828004462526,2.78124109523589,4.82743093725227
6.48177599818311,6.82794872766891,1.90113889855947,6.67633675442085,6.67006475896264,1.97361215840648,6.7591529373315,6.50018859650513,1.95918707639175,6.44812376144615,6.40015395017242,1.67186274876729,5.99233087930587,6.42270816711448,1.84343462365049,5.64653389447097,6.08824120897232,1.74445756034615,5.78429934991328,6.01684763116031,1.81220518067925,7.22957430269162,6.22075724801607,2.35110831711941,7.4923487634023,6.09735879472767,2.35610679339118,7.75866484672194,5.92920818219006,2.42806557087836,8.03403197514854,5.52039686382968,2.40799071435975,8.27683373547913,5.19781740594596,2.67443436655825,8.18209412741922,4.81683343675729,2.68422468815021,8.49181560290615,4.76485199509629,2.75513530691978,4.10688579733767,6.93282951975499,1.55685680314318,6.33916614387495,5.68219742444708,2.06533638928718,6.98404508883725,5.33489205346943,2.30224205840647,7.60429161071133,4.97889926169479,2.54803431457564,9.46329748105927,4.35202989029659,3.1586246904743,10.5110928959269,3.98177210840028,3.5174444522468,12.0186127419608,3.48697738322372,3.8889320481379,13.0882434137197,3.15313642205738,4.25786244196157,13.9542041224168,2.973925315716,4.64274486520103,14.7807842966925,2.78014987858853,4.82775533564437
6.48298314955505,6.82781396874497,1.90424937072871,6.67771998139036,6.66900759921864,1.97533632766515,6.75828414071365,6.49864935404618,1.95824268455417,6.44593488851625,6.39940304747877,1.67281669479856,5.99024640829954,6.41929820346533,1.8433498859024,5.64602875105872,6.08528465222439,1.74634205835097,5.7855958102246,6.0137295248788,1.81412493825057,7.22883736815444,6.22634593659088,2.35292424447847,7.49272268667283,6.10031786645018,2.36426695378606,7.76054986967106,5.93151732352463,2.43126013472232,8.03113718961931,5.51882715025823,2.41065683604316,8.272115002716,5.19585199900513,2.66770742667653,8.17644839317896,4.81808539657979,2.68109494176318,8.49197907121162,4.76262798000467,2.75424257483085,4.10609125608911,6.93249583967126,1.55704164978557,6.34293012816148,5.67859297941566,2.06916047945649,6.95582010732645,5.33866639393797,2.29247962318027,7.55869965293604,4.99341428573855,2.54280165950691,9.42567919765295,4.36252732859206,3.15402227309239,10.4982589425358,3.98650021683724,3.51341473599061,12.0145076174803,3.49644147767173,3.89933932560915,13.0889265854211,3.16111874682785,4.25332820366132,13.9370230195792,2.96887613919204,4.628642488913,14.7805842665715,2.78028448425103,4.82674614669631
