Species,ID,Mass,SVL,BL,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Hind_Stance_Start,Hind_Stance_End,Hind_Swing_End,Fore_Stance_Start,Fore_Stance_End,Fore_Swing_End,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen14,2.51,6,12.1,0.17214,0.31722,Aaen14_Vert03,12/6/23,231206_Calib10,400,1,90,10,712,791,227,902,971,97.15,122.742
Aneides aeneus,Aaen14,2.51,6,12.1,0.17214,0.31722,Aaen14_Vert04,12/6/23,231206_Calib10,400,1,90,11,908,1001,288,1136,1239,92.259,127.492
Aneides aeneus,Aaen14,2.51,6,12.1,0.17214,0.31722,Aaen14_Vert06,12/6/23,231206_Calib10,400,1,90,4,533,595,165,674,724,95.09,123.475
Aneides aeneus,Aaen14,2.51,6,12.1,0.17214,0.31722,Aaen14_Vert07,12/6/23,231206_Calib10,400,1,90,8,505,590,160,679,740,99.25,125.511
Aneides aeneus,Aaen14,2.51,6,12.1,0.17214,0.31722,Aaen14_Vert08,12/6/23,231206_Calib10,400,1,90,21,670,743,211,832,906,96.224,125.371
Aneides aeneus,Aaen17,1.8,4.7,10.7,0.12565,0.2302,Aaen17_45deg01,4/19/24,240419_Calib01,400,1,45,8,289,325,139,409,470,116.74,131.081
Aneides aeneus,Aaen17,1.8,4.7,10.7,0.12565,0.2302,Aaen17_45deg02,4/19/24,240419_Calib01,400,1,45,3,322,363,157,454,520,112.281,132.728
Aneides aeneus,Aaen17,1.8,4.7,10.7,0.12565,0.2302,Aaen17_45deg03,4/19/24,240419_Calib01,400,1,45,6,348,385,155,487,556,114.888,134.425
Aneides aeneus,Aaen17,1.8,4.7,10.7,0.12565,0.2302,Aaen17_45deg05,4/19/24,240419_Calib01,400,1,45,6,325,365,163,466,519,116.045,130.374
Aneides aeneus,Aaen17,1.8,4.7,10.7,0.12565,0.2302,Aaen17_45deg06,4/19/24,240419_Calib01,400,1,45,4,349,383,146,471,539,118.087,130.409
Aneides aeneus,Aaen17,1.85,4.7,10.7,0.12565,0.2302,Aaen17_80deg01,4/27/24,240427_Calib11,400,1,80,9,375,419,151,535,574,101.605,127.801
Aneides aeneus,Aaen17,1.85,4.7,10.7,0.12565,0.2302,Aaen17_80deg03,4/27/24,240427_Calib11,400,1,80,7,292,331,134,429,475,101.664,125.153
Aneides aeneus,Aaen17,1.85,4.7,10.7,0.12565,0.2302,Aaen17_80deg05,4/27/24,240427_Calib11,400,1,80,3,291,318,112,387,437,104.805,128.065
Aneides aeneus,Aaen17,1.85,4.7,10.7,0.12565,0.2302,Aaen17_80deg06,4/27/24,240427_Calib11,400,1,80,5,410,451,162,564,623,107.365,133.73
Aneides aeneus,Aaen17,1.85,4.7,10.7,0.12565,0.2302,Aaen17_80deg07,4/27/24,240427_Calib11,400,1,80,4,460,501,174,620,674,105.698,136.396
Aneides aeneus,Aaen17,1.88,4.7,10.7,0.12565,0.2302,Aaen17_Flat01,4/11/24,240411_Calib02,400,1,0,3,250,281,119,348,409,111.819,128.153
Aneides aeneus,Aaen17,1.88,4.7,10.7,0.12565,0.2302,Aaen17_Flat02,4/11/24,240411_Calib02,400,1,0,3,193,225,98,285,334,112.078,130.089
Aneides aeneus,Aaen17,1.88,4.7,10.7,0.12565,0.2302,Aaen17_Flat03,4/11/24,240411_Calib02,400,1,0,6,253,284,121,360,406,111.2,138.356
Aneides aeneus,Aaen17,1.88,4.7,10.7,0.12565,0.2302,Aaen17_Flat04,4/11/24,240411_Calib02,400,1,0,3,283,310,119,379,432,115.972,135.194
Aneides aeneus,Aaen17,1.88,4.7,10.7,0.12565,0.2302,Aaen17_Flat05,4/11/24,240411_Calib02,400,1,0,3,276,311,148,390,447,112.903,137.121
Aneides aeneus,Aaen17,1.76,4.7,10.7,0.12565,0.2302,Aaen17_Vert01,5/1/24,240501_Calib02,400,1,90,6,621,672,209,813,860,106.261,119.719
Aneides aeneus,Aaen17,1.76,4.7,10.7,0.12565,0.2302,Aaen17_Vert04,5/1/24,240501_Calib02,400,1,90,4,373,406,131,499,544,101.917,130.03
Aneides aeneus,Aaen17,1.76,4.7,10.7,0.12565,0.2302,Aaen17_Vert05,5/1/24,240501_Calib02,400,1,90,5,441,477,142,571,621,111.119,125.387
Aneides aeneus,Aaen17,1.76,4.7,10.7,0.12565,0.2302,Aaen17_Vert06,5/1/24,240501_Calib02,400,1,90,4,303,333,111,405,453,102.721,129.034
Aneides aeneus,Aaen17,1.76,4.7,10.7,0.12565,0.2302,Aaen17_Vert07,5/1/24,240501_Calib02,400,1,90,3,423,457,138,548,594,105.611,123.194
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.07585,0.132,Aaen20_45deg02,4/16/24,240416_Calib03,400,1,45,3,180,212,92,267,302,102.965,111.01
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.07585,0.132,Aaen20_45deg03,4/16/24,240416_Calib03,400,1,45,3,148,171,66,203,228,98.367,106.633
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.07585,0.132,Aaen20_45deg04,4/16/24,240416_Calib03,400,1,45,8,269,307,151,396,466,98.139,123.319
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.07585,0.132,Aaen20_45deg05,4/16/24,240416_Calib03,400,1,45,4,139,166,74,218,244,97.771,105.009
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.07585,0.132,Aaen20_45deg06,4/16/24,240416_Calib03,400,1,45,5,195,229,102,299,327,99.599,104.149
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.07585,0.132,Aaen20_80deg01,4/24/24,240424_Calib01,400,1,80,6,283,314,103,376,414,106.747,119.032
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.07585,0.132,Aaen20_80deg03,4/24/24,240424_Calib01,400,1,80,10,335,362,98,431,464,102.62,116.884
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.07585,0.132,Aaen20_80deg04,4/24/24,240424_Calib01,400,1,80,9,300,329,113,403,425,108.619,116.734
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.07585,0.132,Aaen20_80deg05,4/24/24,240424_Calib01,400,1,80,13,315,343,113,415,443,106.314,114.664
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.07585,0.132,Aaen20_80deg06,4/24/24,240424_Calib01,400,1,80,15,324,352,136,413,445,106.655,116.514
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Flat01,4/10/24,240410_Calib05,400,1,0,3,108,133,60,164,195,93.75,107.379
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Flat03,4/10/24,240410_Calib05,400,1,0,3,175,214,99,266,305,106.045,104.879
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Flat04,4/10/24,240410_Calib05,400,1,0,3,129,157,74,193,222,106.617,116.996
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Flat05,4/10/24,240410_Calib05,400,1,0,3,104,129,53,159,187,101.036,110.84
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Flat07,4/10/24,240410_Calib05,400,1,0,3,119,146,66,179,202,101.915,109.014
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Vert01,4/30/24,240430_Calib09,400,1,90,5,391,417,98,495,523,100.162,109.174
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Vert02,4/30/24,240430_Calib09,400,1,90,7,334,361,122,444,479,94.649,114.385
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Vert03,4/30/24,240430_Calib09,400,1,90,10,346,374,98,442,476,93.317,109.713
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Vert05,4/30/24,240430_Calib09,400,1,90,4,385,419,121,496,531,99.5,118.329
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.07585,0.132,Aaen20_Vert06,4/30/24,240430_Calib09,400,1,90,8,266,297,96,364,395,99.995,116.931
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_45deg01,3/5/24,240305_Calib01,400,1,45,3,110,126,48,156,176,103.933,106.964
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_45deg02,3/5/24,240305_Calib01,400,1,45,3,173,191,71,223,239,102.279,107.152
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_45deg03,3/5/24,240305_Calib01,400,1,45,4,85,102,42,137,152,91.945,107.047
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_45deg04,3/5/24,240305_Calib01,400,1,45,3,162,184,71,257,281,95.422,111.646
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_45deg05,3/5/24,240305_Calib01,400,1,45,3,119,137,57,173,192,100.345,116.591
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_80deg01,3/4/24,240304_Calib03,400,1,80,3,244,265,100,314,335,100.538,110.567
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_80deg02,3/4/24,240304_Calib03,400,1,80,6,350,371,122,451,471,105.245,112.875
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_80deg03,3/4/24,240304_Calib03,400,1,80,3,263,285,82,337,355,95.59,102.912
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_80deg04,3/4/24,240304_Calib03,400,1,80,6,357,382,148,447,479,97.686,105.563
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_80deg05,3/4/24,240304_Calib03,400,1,80,6,366,391,143,457,485,101.455,118.059
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_Flat01,3/5/24,240305_Calib04,400,1,0,3,137,153,53,184,201,97.894,107.52
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_Flat02,3/5/24,240305_Calib04,400,1,0,2,95,119,45,134,149,93.981,109.313
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_Flat03,3/5/24,240305_Calib04,400,1,0,2,94,113,44,138,151,105.642,110.372
