Species,ID,Mass,SVL,BL,Arm_Length,Leg_Length,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Speed,Hind_Stride_Length,Fore_Stride_Length,Fore_Duty_Factor,Hind_Duty_Factor,Fore_Stride_Dur,Hind_Stride_Dur,Fore_Stride_Freq,Hind_Stride_Freq,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen11,1,3.7,7.6,0.739182768,0.800784494,0.07658,0.13406,Aaen11_Vert04,3/4/24,240304_Calib06,400,1,90,3.213346896,1.920121251,2.056733929,0.887096774,0.894117647,0.62,0.6375,1.612903226,1.568627451,106.23,124.462
Aneides aeneus,Aaen11,1,3.7,7.6,0.73334204,0.800401841,0.07658,0.13406,Aaen11_Vert05,3/4/24,240304_Calib06,400,1,90,2.025620163,2.051751798,1.859474189,0.919889503,0.925120773,0.905,1.035,1.104972376,0.966183575,116.782,126.841
Aneides aeneus,Aaen14,3.1,6,12.1,1.142472175,1.178267245,0.17214,0.31722,Aaen14_45deg01,11/8/23,231108_Calib04,400,1,45,2.411184535,3.831588619,3.649474222,0.847058824,0.842835131,1.4875,1.6225,0.672268908,0.61633282,102.512,128.623
Aneides aeneus,Aaen14,3.1,6,12.1,1.13940579,1.165447038,0.17214,0.31722,Aaen14_45deg02,11/8/23,231108_Calib04,400,1,45,1.686426128,3.455298405,3.503204037,0.868894602,0.892523364,1.945,2.14,0.514138817,0.46728972,95.113,117.624
Aneides aeneus,Aaen14,3.1,6,12.1,1.135410853,1.172184869,0.17214,0.31722,Aaen14_45deg03,11/8/23,231108_Calib04,400,1,45,2.049151754,3.757638667,3.636766036,0.856562923,0.892223738,1.8475,1.8325,0.541271989,0.545702592,98.45,127.418
Aneides aeneus,Aaen14,3.1,6,12.1,1.148118175,1.162979812,0.17214,0.31722,Aaen14_45deg04,11/8/23,231108_Calib04,400,1,45,6.041717999,3.792229321,3.72892042,0.835390947,0.866141732,0.6075,0.635,1.646090535,1.57480315,95.465,123.36
Aneides aeneus,Aaen14,3.1,6,12.1,1.154630485,1.215976955,0.17214,0.31722,Aaen14_45deg05,11/8/23,231108_Calib04,400,1,45,7.659324402,3.677476308,3.591817054,0.790816327,0.852459016,0.49,0.4575,2.040816327,2.18579235,100.64,128.793
Aneides aeneus,Aaen14,2.86,6,12.1,1.168531069,1.166797707,0.17214,0.31722,Aaen14_80deg01,2/27/24,240227_Calib03,400,1,80,1.314477806,3.141849561,3.364672929,0.778425656,0.921333333,2.5725,1.875,0.388726919,0.533333333,91.562,123.652
Aneides aeneus,Aaen14,2.86,6,12.1,1.149794508,1.148499461,0.17214,0.31722,Aaen14_80deg02,2/27/24,240227_Calib03,400,1,80,2.181433698,3.325901898,3.167440214,0.891304348,0.901554404,1.495,1.4475,0.668896321,0.690846287,95.47,120.976
Aneides aeneus,Aaen14,3.04,6,12.1,1.131353889,1.130207605,0.17214,0.31722,Aaen14_80deg03,3/2/24,240302_Calib02,400,1,80,1.229660961,2.873184487,2.794831328,0.933839479,0.929078014,2.305,2.4675,0.433839479,0.40526849,97.648,126.957
