Finger_cam1_X,Finger_cam1_Y,Finger_cam2_X,Finger_cam2_Y,Metacarpal_cam1_X,Metacarpal_cam1_Y,Metacarpal_cam2_X,Metacarpal_cam2_Y,Wrist_cam1_X,Wrist_cam1_Y,Wrist_cam2_X,Wrist_cam2_Y,Elbow_cam1_X,Elbow_cam1_Y,Elbow_cam2_X,Elbow_cam2_Y,Shoulder_cam1_X,Shoulder_cam1_Y,Shoulder_cam2_X,Shoulder_cam2_Y,Pec_A_cam1_X,Pec_A_cam1_Y,Pec_A_cam2_X,Pec_A_cam2_Y,Pec_P_cam1_X,Pec_P_cam1_Y,Pec_P_cam2_X,Pec_P_cam2_Y,Toe_cam1_X,Toe_cam1_Y,Toe_cam2_X,Toe_cam2_Y,Metatarsal_cam1_X,Metatarsal_cam1_Y,Metatarsal_cam2_X,Metatarsal_cam2_Y,Ankle_cam1_X,Ankle_cam1_Y,Ankle_cam2_X,Ankle_cam2_Y,Knee_cam1_X,Knee_cam1_Y,Knee_cam2_X,Knee_cam2_Y,Hip_cam1_X,Hip_cam1_Y,Hip_cam2_X,Hip_cam2_Y,Pel_A_cam1_X,Pel_A_cam1_Y,Pel_A_cam2_X,Pel_A_cam2_Y,Pel_P_cam1_X,Pel_P_cam1_Y,Pel_P_cam2_X,Pel_P_cam2_Y,Snout_cam1_X,Snout_cam1_Y,Snout_cam2_X,Snout_cam2_Y,Mid_1_cam1_X,Mid_1_cam1_Y,Mid_1_cam2_X,Mid_1_cam2_Y,Mid_2_cam1_X,Mid_2_cam1_Y,Mid_2_cam2_X,Mid_2_cam2_Y,Mid_3_cam1_X,Mid_3_cam1_Y,Mid_3_cam2_X,Mid_3_cam2_Y,Tail_1_cam1_X,Tail_1_cam1_Y,Tail_1_cam2_X,Tail_1_cam2_Y,Tail_2_cam1_X,Tail_2_cam1_Y,Tail_2_cam2_X,Tail_2_cam2_Y,Tail_3_cam1_X,Tail_3_cam1_Y,Tail_3_cam2_X,Tail_3_cam2_Y,Tail_4_cam1_X,Tail_4_cam1_Y,Tail_4_cam2_X,Tail_4_cam2_Y,Tail_5_cam1_X,Tail_5_cam1_Y,Tail_5_cam2_X,Tail_5_cam2_Y,Tail_6_cam1_X,Tail_6_cam1_Y,Tail_6_cam2_X,Tail_6_cam2_Y
655.6608276367188,829.4072875976562,667.5462036132812,960.6828002929688,675.3128662109375,824.4921875,687.27734375,959.1205444335938,687.2820434570312,819.3804931640625,700.54541015625,955.8916015625,676.3900146484375,812.1648559570312,693.1953735351562,917.4003295898438,652.7156982421875,794.6947631835938,665.05615234375,927.1838989257812,633.1004638671875,773.610595703125,647.786865234375,905.27880859375,643.9949951171875,769.6007080078125,660.225830078125,907.0072631835938,703.8202514648438,837.9635620117188,717.4653930664062,928.1190795898438,725.0660400390625,836.4033813476562,738.18408203125,928.7882690429688,748.1011962890625,829.26220703125,761.4387817382812,928.3190307617188,777.8211669921875,803.4962158203125,789.1156005859375,914.379638671875,801.2459106445312,782.727783203125,822.6119384765625,923.3028564453125,803.1774291992188,759.7218627929688,821.9154052734375,906.3206787109375,820.491943359375,765.0582275390625,842.8185424804688,908.4008178710938,514.7149658203125,792.0986328125,520.0670166015625,935.2161254882812,683.825927734375,756.9393310546875,699.0842895507812,906.8947143554688,723.8590087890625,745.9473876953125,740.5056762695312,906.053466796875,766.288818359375,748.7969360351562,783.3582763671875,904.65625,870.2481079101562,769.097412109375,901.594482421875,914.0401000976562,911.0958251953125,768.3917846679688,947.62109375,921.3024291992188,954.7154541015625,764.1548461914062,995.4901733398438,929.5271606445312,997.0404052734375,760.3899536132812,1042.295166015625,937.569580078125,1037.943603515625,756.9581909179688,1083.3760986328125,944.4381103515625,1082.70361328125,753.2359008789062,1117.47265625,945.6851196289062
655.572509765625,829.450439453125,667.6508178710938,960.5838012695312,675.21826171875,824.5890502929688,688.4679565429688,958.3262939453125,687.2552490234375,819.6748046875,700.5454711914062,955.7599487304688,675.9981079101562,812.3651733398438,693.0090942382812,916.7522583007812,652.126953125,794.7308959960938,664.8505859375,927.2429809570312,632.83154296875,773.6248168945312,647.27734375,905.244140625,643.666259765625,769.6531982421875,659.6646728515625,907.014404296875,701.8994750976562,837.2880249023438,716.9418334960938,929.4044799804688,723.7698364257812,836.1268920898438,738.0296630859375,932.5113525390625,747.4110107421875,829.3595581054688,761.2860717773438,931.6882934570312,777.1600952148438,803.315185546875,787.8031616210938,916.1544189453125,800.7371215820312,782.6533203125,821.92431640625,923.40576171875,802.58349609375,759.596923828125,821.0967407226562,906.663330078125,819.878662109375,764.9295043945312,842.3128662109375,908.7224731445312,514.173583984375,792.033935546875,519.6710205078125,935.2476196289062,683.3300170898438,756.9779663085938,697.6879272460938,906.825439453125,723.3187866210938,745.8148803710938,739.7883911132812,906.4237060546875,765.6319580078125,748.6239624023438,783.5197143554688,906.9003295898438,869.5743408203125,769.1949462890625,901.2532958984375,914.2044067382812,910.59033203125,768.4227905273438,947.2699584960938,921.2152709960938,954.3179931640625,764.105712890625,995.0243530273438,929.4295654296875,996.6046752929688,760.379638671875,1041.82568359375,937.5508422851562,1037.6236572265625,757.013671875,1083.126220703125,944.4268188476562,1082.3648681640625,753.23583984375,1116.859130859375,945.5478515625
655.4496459960938,829.423095703125,667.8245849609375,960.7554931640625,675.0533447265625,824.6295776367188,687.7732543945312,958.9718017578125,687.0985717773438,819.8803100585938,700.4855346679688,955.415771484375,675.865966796875,812.618896484375,692.952392578125,917.1862182617188,651.6716918945312,794.9368896484375,664.3522338867188,927.2129516601562,632.5531005859375,773.6018676757812,646.3388061523438,905.3074340820312,643.4080200195312,769.6539916992188,658.6445922851562,906.925537109375,700.5723266601562,835.125,715.9635009765625,931.0364379882812,722.525146484375,835.7967529296875,739.64697265625,936.0404663085938,746.6641235351562,828.9883422851562,763.767822265625,936.3640747070312,776.6897583007812,803.45166015625,787.3248901367188,919.7449951171875,800.086669921875,782.5540161132812,821.1531372070312,923.4869995117188,802.0858154296875,759.64208984375,821.2029418945312,906.6267700195312,819.12548828125,764.9758911132812,842.1591186523438,909.1626586914062,513.7659912109375,791.7991333007812,519.2365112304688,935.2057495117188,683.0433959960938,756.8970336914062,696.2413940429688,906.7847900390625,722.953369140625,745.76025390625,738.5737915039062,905.9548950195312,764.97412109375,748.1912231445312,783.1267700195312,907.001953125,869.175537109375,769.3071899414062,900.0934448242188,914.139892578125,910.1467895507812,768.3541870117188,946.6837768554688,920.2799072265625,953.920166015625,764.1557006835938,994.2794189453125,929.3265991210938,995.7603759765625,760.4517822265625,1041.55859375,937.6213989257812,1036.997314453125,757.0089721679688,1082.8616943359375,944.32470703125,1081.8260498046875,753.1521606445312,1116.2591552734375,945.5897827148438
655.287841796875,829.4862060546875,667.4039306640625,960.9697265625,674.7083129882812,824.6070556640625,688.6842041015625,958.4827270507812,686.7189331054688,819.7869262695312,700.0018310546875,955.5975341796875,675.2237548828125,812.5472412109375,692.1449584960938,917.0857543945312,651.275390625,794.74560546875,664.5328369140625,926.8121337890625,631.9218139648438,772.8854370117188,645.8934326171875,905.288818359375,642.9037475585938,769.858642578125,658.27392578125,906.836669921875,699.2595825195312,835.0062866210938,717.365478515625,933.6954345703125,721.4513549804688,835.1443481445312,739.032470703125,938.3895263671875,745.6254272460938,828.5216674804688,761.7901611328125,939.5811767578125,775.7459106445312,803.8082275390625,787.7017211914062,921.3681640625,800.093017578125,782.2495727539062,820.2451171875,923.8018188476562,801.5894775390625,759.4763793945312,821.4175415039062,906.9495239257812,818.44287109375,765.0526123046875,842.5604248046875,909.0799560546875,513.1936645507812,791.5685424804688,518.7997436523438,935.2638549804688,682.4835205078125,756.888427734375,695.4998779296875,906.8291625976562,722.5533447265625,745.6820068359375,739.1160888671875,905.748779296875,764.6492309570312,747.7617797851562,782.4978637695312,907.1875,868.4146118164062,769.3703002929688,900.6588134765625,914.1737060546875,909.5401000976562,768.336181640625,946.11328125,920.9385375976562,953.1144409179688,764.265625,994.2236938476562,929.3199462890625,994.7993774414062,760.4442138671875,1041.391357421875,937.6576538085938,1036.06005859375,757.0454711914062,1082.4482421875,944.4075317382812,1081.1881103515625,753.1824951171875,1115.7667236328125,945.3179321289062
655.1958618164062,829.6559448242188,666.6712036132812,961.0485229492188,674.849365234375,824.7156372070312,688.291748046875,958.524169921875,686.7180786132812,819.8275756835938,700.7322998046875,955.4518432617188,674.6974487304688,812.5569458007812,692.184326171875,917.8333129882812,650.8014526367188,794.8319091796875,664.40380859375,926.8402709960938,631.6278076171875,772.9395141601562,645.7233276367188,905.3421020507812,642.6322021484375,769.7898559570312,658.5089721679688,906.9161987304688,697.7784423828125,835.4635009765625,719.5308227539062,939.34033203125,720.3369140625,834.651611328125,740.162109375,941.6698608398438,744.65869140625,828.1287231445312,762.1253051757812,942.1209716796875,774.9832153320312,804.1497192382812,787.1258544921875,922.3269653320312,799.4605102539062,782.42333984375,818.1655883789062,924.0471801757812,801.1942749023438,759.1533203125,820.2918090820312,907.2611083984375,817.7362670898438,765.0645751953125,840.5516967773438,909.0592041015625,512.6302490234375,791.6154174804688,518.263671875,935.3243408203125,682.1953125,756.8232421875,696.3065795898438,907.162353515625,722.0416870117188,745.580322265625,738.2251586914062,906.0296020507812,763.9613647460938,747.6011962890625,782.12451171875,907.5137939453125,867.71826171875,769.5869750976562,898.93798828125,914.1351318359375,906.95263671875,767.944580078125,945.8208618164062,920.2344970703125,952.5133056640625,764.4237670898438,993.372314453125,929.0596923828125,994.2752075195312,760.421142578125,1041.04150390625,937.679931640625,1035.234619140625,757.0775146484375,1082.5692138671875,944.4306640625,1080.216064453125,752.880859375,1115.131103515625,945.0503540039062
655.08154296875,829.6016845703125,667.0574951171875,960.9953002929688,674.66943359375,824.7514038085938,687.4454956054688,958.830078125,686.6278686523438,819.8502197265625,701.0208740234375,954.683349609375,674.3572998046875,812.5113525390625,691.7854614257812,917.5018310546875,650.3474731445312,794.81103515625,663.9796142578125,926.8123779296875,630.9746704101562,773.00732421875,645.329345703125,905.4107666015625,642.0245971679688,769.9686889648438,658.5341796875,906.88330078125,697.5177001953125,835.3007202148438,718.0677490234375,941.9654541015625,720.2801513671875,834.4165649414062,740.7620239257812,944.6292114257812,744.2510375976562,827.7681274414062,761.860595703125,943.2994384765625,773.2933959960938,805.0316772460938,788.4830932617188,924.1096801757812,798.4818115234375,782.4652709960938,818.546142578125,924.4280395507812,800.4595947265625,759.3011474609375,821.1854858398438,907.1328735351562,816.9564819335938,765.1610107421875,840.4503173828125,908.7379150390625,512.1456909179688,791.776611328125,517.7548217773438,935.5010375976562,681.5806884765625,756.7167358398438,697.6884765625,907.2988891601562,721.3378295898438,745.6727905273438,739.4016723632812,905.943603515625,762.9508666992188,747.52294921875,783.9143676757812,907.3550415039062,866.9578247070312,769.7677001953125,898.6239013671875,914.0621337890625,906.1807250976562,767.919921875,945.134521484375,919.9791870117188,950.7692260742188,765.1790161132812,992.1541748046875,928.909423828125,993.3538208007812,760.5114135742188,1039.891845703125,937.5025024414062,1034.1339111328125,757.2052001953125,1080.9810791015625,944.4165649414062,1079.485107421875,752.9390258789062,1114.62060546875,945.025146484375
654.9113159179688,829.6790161132812,667.509033203125,960.9458618164062,674.4183349609375,824.8002319335938,687.40234375,958.6845092773438,686.6585083007812,819.7596435546875,700.7402954101562,955.0768432617188,673.8404541015625,812.2813110351562,690.56787109375,917.59228515625,649.710205078125,794.8494262695312,662.9432983398438,926.913330078125,630.51904296875,773.0383911132812,644.1281127929688,905.4911499023438,641.6188354492188,769.9313354492188,657.255126953125,906.8994750976562,696.6959838867188,835.992431640625,715.4264526367188,946.284912109375,720.0121459960938,834.4680786132812,738.0546875,948.26416015625,744.043701171875,826.981689453125,760.719482421875,947.99267578125,772.2592163085938,805.3965454101562,787.8576049804688,926.1104736328125,797.5936279296875,782.4406127929688,818.0464477539062,925.1256103515625,799.6839599609375,759.3363037109375,820.533203125,907.082763671875,816.3538208007812,765.2864990234375,839.353271484375,908.566162109375,511.6864318847656,791.9415283203125,516.9837646484375,935.6676635742188,681.1669921875,756.6043090820312,696.6539306640625,907.1984252929688,720.836181640625,745.6082153320312,739.16748046875,905.8516845703125,762.2628173828125,747.4841918945312,784.3131103515625,907.2948608398438,867.2252807617188,769.8768310546875,897.228515625,913.8074951171875,905.8001098632812,767.9978637695312,940.810546875,919.7782592773438,950.4564819335938,765.304931640625,990.47119140625,928.5001220703125,993.2988891601562,760.4332275390625,1038.2608642578125,937.0116577148438,1034.177490234375,757.110595703125,1079.3551025390625,944.8455810546875,1079.223388671875,753.0341796875,1114.178466796875,944.9016723632812
654.8270874023438,829.6438598632812,667.72705078125,960.8966674804688,674.3662719726562,824.8909912109375,687.2999267578125,959.0014038085938,686.5816650390625,819.693359375,700.2586059570312,954.310546875,673.5247192382812,812.410400390625,689.4110717773438,917.650146484375,649.3477172851562,794.8582763671875,662.3991088867188,926.8059692382812,630.20458984375,772.9102172851562,643.2377319335938,905.416015625,641.3597412109375,769.8560180664062,656.3689575195312,906.8353271484375,696.1945190429688,834.428955078125,717.883056640625,949.7881469726562,719.7918090820312,833.5383911132812,738.9619140625,950.3536987304688,743.4127197265625,826.5547485351562,760.3053588867188,948.9759521484375,771.796875,805.1876220703125,787.51171875,928.5786743164062,796.8836059570312,782.281494140625,818.234375,925.10595703125,798.98974609375,759.2675170898438,820.1483764648438,907.1738891601562,815.876708984375,765.0855102539062,838.7992553710938,908.526123046875,511.1438293457031,792.1129760742188,516.470458984375,935.9468994140625,680.7271118164062,756.667236328125,695.1913452148438,907.3264770507812,720.3629760742188,745.5529174804688,738.624755859375,905.7826538085938,761.6177368164062,747.2567138671875,783.6011962890625,907.4312133789062,866.6644897460938,769.8840942382812,897.533935546875,913.6143188476562,905.4288330078125,767.9603881835938,940.1748657226562,920.4459838867188,950.2509765625,765.4337158203125,990.515380859375,928.530029296875,993.4571533203125,761.0025634765625,1037.6973876953125,936.8833618164062,1033.999755859375,757.1074829101562,1078.0989990234375,944.6657104492188,1078.7698974609375,752.9229736328125,1113.732177734375,944.8369750976562
654.998046875,829.6719970703125,668.8853759765625,960.47607421875,674.0753173828125,824.9495239257812,688.2236328125,958.6107788085938,686.2049560546875,819.5472412109375,700.3877563476562,953.7859497070312,672.8687133789062,812.2735595703125,688.7824096679688,917.8436279296875,648.7864379882812,794.84326171875,661.4461059570312,926.685302734375,629.7564086914062,772.7748413085938,641.958984375,905.3953247070312,640.9685668945312,769.7384033203125,654.951904296875,906.8447265625,696.493408203125,834.7400512695312,714.29248046875,953.3844604492188,719.8583984375,832.5781860351562,736.0903930664062,952.8238525390625,742.9490966796875,826.3966064453125,757.5563354492188,951.2864990234375,770.6766967773438,805.0755004882812,786.3975830078125,929.5091552734375,796.2221069335938,782.1873168945312,817.4811401367188,925.0264892578125,798.5220947265625,759.3094482421875,819.4501953125,906.8829956054688,815.1229858398438,764.2666625976562,837.9909057617188,908.2939453125,510.60540771484375,792.4171142578125,515.9834594726562,936.0682373046875,680.29833984375,756.371337890625,694.2293701171875,907.1976928710938,719.9461059570312,745.7155151367188,737.9016723632812,905.87255859375,761.231201171875,747.3693237304688,782.908447265625,907.5879516601562,866.7443237304688,769.886962890625,896.4437255859375,913.3634033203125,904.8746948242188,768.0521850585938,939.2786865234375,919.4029541015625,949.918212890625,765.4301147460938,990.2799682617188,927.576904296875,991.6799926757812,761.873291015625,1036.5401611328125,936.6314697265625,1033.91015625,757.0302124023438,1077.28515625,944.6175537109375,1078.2919921875,753.0234375,1112.978515625,944.762939453125
655.2129516601562,829.547119140625,668.5681762695312,960.4658813476562,674.1585693359375,824.9387817382812,688.072265625,958.6571655273438,686.1251831054688,819.5009155273438,700.1881103515625,953.9992065429688,672.579345703125,812.3050537109375,688.255615234375,917.440673828125,648.3726806640625,795.0537109375,661.5138549804688,926.7026977539062,629.4090576171875,772.8662719726562,641.4921875,905.42626953125,640.5823364257812,769.884765625,654.6235961914062,906.9581298828125,696.826416015625,835.109375,713.3450317382812,954.7617797851562,720.1396484375,833.03466796875,734.5355224609375,955.7413940429688,743.0496215820312,826.9138793945312,757.5706787109375,952.5248413085938,770.3805541992188,805.3519287109375,787.0648193359375,929.6277465820312,795.5718383789062,782.07080078125,817.7694702148438,925.0706787109375,797.93408203125,759.1494750976562,819.4857177734375,906.8436889648438,814.64892578125,764.0513916015625,838.2192993164062,908.2173461914062,510.3406982421875,792.3861694335938,515.4732666015625,936.241455078125,679.6921997070312,756.0675659179688,693.6441650390625,907.152587890625,719.529296875,745.4391479492188,737.6005249023438,906.0681762695312,760.8058471679688,746.9793090820312,782.1900024414062,907.386474609375,866.0048828125,769.8968505859375,896.4140625,913.2035522460938,904.1693725585938,768.02490234375,939.116943359375,919.179443359375,949.492431640625,765.4002685546875,990.3780517578125,927.5814819335938,991.2651977539062,761.9149169921875,1036.236083984375,936.6958618164062,1033.45166015625,757.090087890625,1076.6278076171875,944.6061401367188,1077.7054443359375,752.8948364257812,1112.30615234375,944.5242309570312
